"school_id","school_name","activity_name","alg","level_of_play","event_date","event_time","score","event_name","location","source_activity_url","matchup_link","address"
"578","Rock Bridge High School","Golf Girls","24","Varsity","9/23","3:00 pm","","Smith-Cotton","home","https://www.mshsaa.org/MySchool/Schedule.aspx?s=578&alg=24","https://www.mshsaa.org/MySchool/Matchup.aspx?s=578&alg=24&comp=2753454","2210 Country Club Drive, Columbia, MO 65201"
"578","Rock Bridge High School","Softball Fall Season","38","Varsity","9/23","5:30 pm","","Jefferson City","home","https://www.mshsaa.org/MySchool/Schedule.aspx?s=578&alg=38","https://www.mshsaa.org/MySchool/Matchup.aspx?s=578&alg=38&comp=2780464","4303 South Providence Road, Columbia, MO 65203"
"430","Russellville High School","Golf Girls","24","Varsity","9/23","","","Blair Oaks Tri","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=430&alg=24","https://www.mshsaa.org/MySchool/Tournament.aspx?s=430&alg=24&tournament=581414","Jefferson City, MO"
"431","Salisbury High School","Golf Girls","24","Varsity","9/23","","","Salisbury Invitational","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=431&alg=24","https://www.mshsaa.org/MySchool/Tournament.aspx?s=431&alg=24&tournament=545816",""
"194","Smith-Cotton High School","Golf Girls","24","Varsity","9/23","3:00 pm","","Rock Bridge","away","https://www.mshsaa.org/MySchool/Schedule.aspx?s=194&alg=24","https://www.mshsaa.org/MySchool/Matchup.aspx?s=194&alg=24&comp=2760908","4303 S Providence Rd, Columbia, MO 65203-7198"
"194","Smith-Cotton High School","Softball Fall Season","38","Varsity","9/23","5:00 pm","","Father Tolton","home","https://www.mshsaa.org/MySchool/Schedule.aspx?s=194&alg=38","https://www.mshsaa.org/MySchool/Matchup.aspx?s=194&alg=38&comp=2657348","2010 Tiger Pride Blvd, Sedalia, MO 65301-8503"
"194","Smith-Cotton High School","Tennis Girls","49","Varsity","9/23","4:30 pm","","Helias Catholic","away","https://www.mshsaa.org/MySchool/Schedule.aspx?s=194&alg=49","https://www.mshsaa.org/MySchool/Matchup.aspx?s=194&alg=49&comp=2628179","1305 Swifts Hwy, Jefferson City, MO 65109-2595"
"194","Smith-Cotton High School","Volleyball Girls","57","Varsity","9/23","6:00 pm","","Hallsville","home","https://www.mshsaa.org/MySchool/Schedule.aspx?s=194&alg=57","https://www.mshsaa.org/MySchool/Matchup.aspx?s=194&alg=57&comp=2643403","2010 Tiger Pride Blvd, Sedalia, MO 65301-8503"
"197","South Callaway High School","Softball Fall Season","38","Varsity","9/23","5:00 pm","","Tuscumbia","home","https://www.mshsaa.org/MySchool/Schedule.aspx?s=197&alg=38","https://www.mshsaa.org/MySchool/Matchup.aspx?s=197&alg=38&comp=2726725","10135 State Rd C, Mokane, MO 65059-0038"
"2","Southern Boone High School","Softball Fall Season","38","Varsity","9/23","5:00 pm","","Kirksville","away","https://www.mshsaa.org/MySchool/Schedule.aspx?s=2&alg=38","https://www.mshsaa.org/MySchool/Matchup.aspx?s=2&alg=38&comp=2778335","1300 S Cottage Grove, Kirksville, MO 63501-3998"
"953","Battle High School","Golf Girls","24","Varsity","9/24","","","Rock Bridge, Jefferson City, Hickman, Battle","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=953&alg=24","https://www.mshsaa.org/MySchool/Tournament.aspx?s=953&alg=24&tournament=589043","Columbia, MO"
"953","Battle High School","Soccer Boys","33","Varsity","9/24-26","","","Richard Wilson Shootout","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=953&alg=33","https://www.mshsaa.org/MySchool/Tournament.aspx?s=953&alg=33&tournament=589051","Jefferson City, MO"
"953","Battle High School","Tennis Girls","49","Varsity","9/24","4:30 pm","","Rolla","home","https://www.mshsaa.org/MySchool/Schedule.aspx?s=953&alg=49","https://www.mshsaa.org/MySchool/Matchup.aspx?s=953&alg=49&comp=2583038","7575 St. Charles Road, Columbia, MO 65202"
